curated_smiles,guinea pig_skin_LD50
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,2.5496052135671694
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.8110757867805543
CNN,2.98220525447394
CNC(=O)CSP(=S)(OC)OC,2.37580665768613
O=C(O)CF,4.688208407972168
O=C(O)CI,3.1724814985730068
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,2.568102475904753
CI,2.2490117541854686
C[N+](C)(C)C,3.472153575420579
CS(=O)(=O)O,1.6817250252060048
CC(C)(O)C#N,2.753868920006997
CCOP(=O)(C#N)N(C)C,3.665792659662433
C=C(C)C(=O)O,1.9349527078178577
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,5.398417470046492
Oc1c(Br)ccc2c(O)c(Br)ccc12,2.2013479561242475
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1.4445881051396905
CCOC(=O)COC(=O)c1ccccc1C(=O)OC,1.4252879852907472
COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.0543558375520283
CCC(C)c1ccccc1O,2.3985793983072528
N#Cc1ccccc1C#N,2.1076643838676468
COc1ccccc1NC(=O)CC(=O)c1ccccc1,2.43023635341151
O=C1CCN(c2ccccc2)N1,2.210029429150483
CC(=O)CC(=O)Nc1ccccc1C,2.2815560250343667
Nc1ccccc1O,2.037936195916714
Cc1cc(O)ccc1O,2.093908242610268
CCC(C)C=O,0.6341446203387929
O=C1CCCO1,1.2359827034818391
OCC1CCCO1,1.310196084492383
Nc1ccc([N+](=O)[O-])cc1,2.4413054308952287
O=[N+]([O-])c1ccc(O)cc1,2.1433583506154665
CCC(C)Nc1ccc(NC(C)CC)cc1,1.6441627593652646
CC(=O)CC(=O)Nc1ccccc1,2.2484710701041744
CCCCNc1ccc(O)cc1,1.5191346687819278
CCc1ccc(C)nc1,1.6855016909929996
CCCCCC(=O)OC,1.4155976149949152
C=CC#N,2.419448614843696
O=CC=O,0.944153536490684
O=C1C=CC(=O)O1,0.6904486064485439
Nc1cccc(Cl)c1,3.105762172762183
Cc1cccc(C)n1,1.6320764848946807
Cc1cc(C)nc(C)c1,2.0834416996650376
Cc1cccnc1,1.9690849396153571
[BH3-][n+]1ccccc1,2.667163326682552
CCCCC=O,0.6341446203387929
c1ccncc1,1.898187464255996
CCOCCOC(C)=O,0.8319539079050137
CCCCN=C=O,1.9962182491595744
ClCCOCCCl,2.6782542622674392
CCCCCCCCO,2.1147143753722646
CCOCCOCCO,0.622521625639167
ClCCOCOCCCl,3.00769507525308
C=CCCCCCCCCC(=O)O,3.566505842528429
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1.9115411105640656
CNC(=O)ON=CC(C)(C)SC,1.8991545114098003
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1.5916922099659645
COCCOC(=O)c1ccccc1C(=O)OCCOC,1.1496685749906057
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,1.8927222056299455
COC(=O)c1ccc(C(=O)OC)cc1,1.5892479115453535
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.2603934100798644
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1.6929179131473535
CCCCC(C=O)CC,0.9038188540413012
CC(C)(C)c1cccc(C(C)(C)C)c1O,1.3145602733189508
CCN1C(=O)C=CC1=O,2.398381027865818
O=NN(O)c1ccccc1,1.441305430895229
O=C(Oc1cccc(O)c1)c1ccccc1,4.029830019310658
Cc1ccc2n[nH]nc2c1,2.124354217352764
C=C(C#N)C(=O)OC,1.0059431320092884
CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1O,2.1404441406926287
CCCCC(CC)COC(=O)c1cccc(C(=O)OCC(CC)CCCC)c1,1.290662214301983
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O,2.656108526432047
C1CN1,3.488036752510558
ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,5.313607831168677
CCOP(=S)(OCC)Oc1cnccn1,4.394878760497201
CCOP(=S)(OCC)SCSCC,4.114587634438791
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.2062171676245543
O=[N+]([O-])c1cc([N+](=O)[O-])c(F)cc1F,2.309817469747946
F[As](F)c1ccccc1,4.278808455738735
C#CC(=O)O,2.8453895398880955
C=C(C)C(CO)CC=C(C)C,1.4892636148572735
Nc1ccccn1,2.274698071156805
ClCCSCCCl,3.900588316679612
COc1ccc2ccc(=O)oc2c1,1.54696441519671
O=C(CCl)c1ccccc1,2.1891982528397365
ClC=C[As](Cl)Cl,4.237457859312183
ClCCN(CCCl)CCCl,4.009722775912059
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,2.623460566264213
CC(C)CC=O,1.0320846290108303
CN,1.1911434899548985
CC(Cl)C(=O)O,2.93515524758269
Oc1ccc(O)c(Cl)c1,2.4610691223712213
N#Cc1cccc([N+](=O)[O-])c1,2.1706166354123484
Oc1ccc(NCc2ccccc2)cc1,2.2994048689571707
C(=Nc1ccccc1)Nc1ccccc1,2.292816304263086
OCCN1CCOCC1,1.7199110641983388
CC=CC(=O)OCC,1.358483083322241
NC(N)=[Se],3.3909951273963186
O=C1OC(=O)c2c(Br)c(Br)c(Br)c(Br)c21,2.666238032479832
Nc1ccc(Cl)c([N+](=O)[O-])c1,2.236967815723618
N#CC(C#N)=C(C#N)C#N,3.1075287876063697
CN(C)P(=O)(N(C)C)N(C)C,2.1833098326834164
Cc1ccnc(N)c1,2.335032424763399
Br[As](Br)c1ccccc1,4.715775000619414
Cl[As](Cl)c1ccccc1,4.746116317108911
Cc1ccc(S(=O)O)cc1,2.193697711467312
O=C(O)c1ccccc1C(=O)O,2.220453293407978
O=C(O)C#CC(=O)O,3.659178127923103
CCOP(=S)(CC)Sc1ccccc1,2.9474848521735235
CCOP(=O)(N=C1SCCS1)OCC,3.6746587560922537
O=[N+]([O-])c1cc[n+]([O-])cc1,2.1464319354630503
Nc1cc(-c2ccccc2)ccc1O,2.2677019481342136
CCCC(=O)OC1CCCCC1,1.5321222180629712
Cc1cccnc1N,2.7329724334354366
Cc1ccc(N)nc1,2.431942437771456
Cc1cccc(N)n1,2.7329724334354366
CC(=O)SCC[N+](C)(C)C,2.511289642254094
O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CC(=O)O,2.486105876544645
CCN(CC)c1ccc(N)c(C)c1,2.2511001893826155
C=C(C)C1CC=C(C=O)CC1,1.4777606443548774
CCN(CC)c1ccc(N)cc1,2.2155106664124915
Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1,1.5968102351121638
CCC(COC(=O)c1ccccc1C(=O)OCC(CC)CC(C)C)CC(C)C,1.5916922099659645
CCC=CCCCCC=O,1.4478585414604104
CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],1.614368373721318
O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,2.3086519038819597
CCCOCCO,2.0176551043695365
O=C1CCCCCCCCCOCCCCCO1,1.7099243024360855
N#C[SeH],3.326278497491963
C=NO,2.653608024153697
CC(C)([N+](=O)[O-])C(C)(C)[N+](=O)[O-],2.245936884712862
CC(C)COCCO,1.124605666139158
CCCCC[N+](CCCCC)(CCCCC)CCCCC,4.077119250494469
CC(=O)Nc1ccccc1CCNC(=O)c1ccc2ccccc2c1O,2.542080639408159
O=S(=O)(O)C(O)CCC(O)S(=O)(=O)O,2.398374086151356
CN(C(=O)CF)c1cccc2ccccc12,4.637975787181227
CCC=CC=CC=O,1.3430381530375075
CC(=O)NNc1ccc(N)cc1,2.217999527252165
N#CCN(CC#N)CC#N,2.127564777198375
CC(C)(C)N,1.864149018109616
COc1cc(C=CC(=O)OC2CCC34CC35CCC3(C)C(C(C)CCC=C(C)C)CCC3(C)C5CCC4C2(C)C)ccc1O,3.780245283865352
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,2.1325158349126383
Cc1c(Cl)ccc(O)c1Cl,2.248046869358661
Cc1cc(C(C)(C)C)c2oc(=O)cc(C)c2c1,1.6633371338677811
CCCC=CC(OC)OC,1.4600374185135088
CCCCC=CC=O,1.865193032492321
COC1C(=O)CCC2(CO2)C1(O)C1(C)OC1CC=C(C)C,6.170793986710567
CCCCCC=CCCC=O,1.4892636148572735
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1.5345362927645405
CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,1.5687366331197503
CCC=CCCC=CCO,1.4478585414604104
C(C/C=N/c1ccccc1)=Nc1ccccc1,2.346921879570508
O=S(=O)(O)c1cc(O)ccc1O,2.279155708578116
Nc1ccccc1,1.8584952293161088
O=C1CC(Nc2ccc([N+](=O)[O-])cc2)=NN1c1c(Cl)cc(Cl)cc1Cl,2.6016483022378383
ClC=C[As](Cl)C=CCl,4.464930845937722
CCc1ccc([N+](O)=Cc2ccccc2)cc1,2.3546826348409797
CCC(C)(C)c1ccc(OCCCCN)c(C(C)(C)CC)c1,1.7860497396739885
O=S(=O)(CCCl)COCS(=O)(=O)CCCl,2.4759572346136216
CC(C)(C)C(=O)CC#N,2.097503721854975
CCN(CC)c1ccc(N)c(CCNS(C)(=O)=O)c1,2.455473750487404
CC(=O)OCc1ccc(C)cc1C,1.552013239461579
CC(=O)SCC(=O)Nc1nc2ccccc2s1,2.425447809471578
CC(C/N=N/CC(C)CC(=N)N)CC(=N)N,2.3547382856969485
CCCC=CC(OCC)OCC,1.5372346073307364
COc1cc(N)c(C)cc1N(C)C,2.2558776827855147
CC(C=Cn1ccc2ccccc21)CCCC(C)(C)O,1.7346462397435067
CCc1c(Cl)ccc(O)c1Cl,2.5821929497830505
CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.2045088639688704
NN1C(=O)CSC1=S,3.170883367764773
CCN(CC)C(=O)Cc1ccccc1,1.4303975913869669
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,2.172684645601847
O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O,2.508219879074658
O=C1CC(Nc2ccc(Cl)cc2Cl)=NN1c1c(Cl)cc(Cl)cc1Cl,2.6268677712718045
CC=CC(=O)O,2.633922712153877
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,1.2193382339456802
CCCCCCCCCCC=CC=O,1.5940255104130656
CN(C)c1ccc(N)c2ccccc12,2.2701149352793384
