curated_smiles,mouse_intravenous_LDLo
O=C1NC(=O)C(=O)C(=O)N1,3.001987382629135
C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.708074431242739
c1ccc2cc3c(ccc4ccccc43)cc2c1,4.35849449755623
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.4975778396302317
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.757738824136664
Nc1ccc(S(N)(=O)=O)cc1,2.457904594458721
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.053608497220008
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.746139693505179
CC(C)=O,1.1619666163640747
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,2.1189462616467405
CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,3.701084145852573
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,4.271052424821127
CC(O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,4.66075302913042
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,3.38169632659724
Clc1ccccc1Cl,2.565269160796356
O=C(O)c1ccc(C(=O)O)cc1,2.106509941101141
CCCCCC(=O)OC,3.4333263819553466
CCCCCC,2.015795387074727
CCCCCCOCCCCCC,2.3233604897926035
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.195415780351354
O=C1C=CC(=O)c2ccccc21,4.1990856724924175
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1-c1ccccc1,3.905672857800031
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.97820563313701
NCC(O)c1ccc(O)c(O)c1,4.529379016287618
CCCCOCCCC,2.703094669409034
CC(=O)NS(=O)(=O)c1ccc(N)cc1,2.42782273534591
CC(N)C(O)c1ccccc1,2.931458868674497
C=C1CC1CC(N)C(=O)O,3.35735072521515
CC(N)Cc1c[nH]c2ccccc12,3.161984063565111
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.263156997289854
CNCC(O)c1ccc(O)c(O)c1,4.563972058900261
COc1ccc2c(c1)[nH]c1c(C)nccc12,3.627881786852628
CCCCN(CCCC)CCCOC(=O)c1ccc(F)c(I)c1,3.898446928648995
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,4.138018339614263
O=C(O)CNC(=O)c1ccccc1O,2.512270712493125
O=c1cc(CO)occ1O,1.9765333803919376
CC1CCCCN1CCCOC(=O)c1ccccc1,3.995643502875935
CN1C2CCC1CC(OC(=O)c1ccccc1)C2,3.766487206239694
CN(C)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,4.270138251476436
COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,4.140473720187029
CC(=O)O,1.9465498709491404
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,3.41678291926454
CC1CCCCC1=O,2.6185206991509324
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,3.65489455611716
O=[As]c1ccccc1,5.029479421035964
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C=O)C5CCC43C)C2C1,4.496647403275776
CCNCC(O)c1cccc(O)c1,4.2168493869851895
O=Nc1ccc(NNC(=O)c2ccncc2)c(=O)cc1,3.130732492929256
CCC12COP(OC1)OC2,5.209849989092136
CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,3.5825133407509937
CCC12COP(=O)(OC1)OC2,5.551752434865263
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,4.59030671470334
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,3.823974748689106
C[N+](C)(C)c1cccc(O)c1,3.78452314963571
c1ccc([Si]23OCCN(CCO2)CCO3)cc1,3.400292712124528
CC1(C)CCC2(C(=O)O)CCC3=C(C(CCl)CC4C3(C)CCC3C4(C)CC(O)C(O)C3(C)C(=O)O)C2C1,4.076872555454327
Clc1cc(N2CC2)nc(N2CC2)n1,4.117582815057576
C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,5.444519448394565
CC=C(C)C(O)C(C)C=C(C)C=CCC(C)=CCc1[nH]c(OC)c(OC)c(=O)c1C,5.618648368505572
CC=Cc1cc(OC)c(OC)cc1OC,3.4990556724254605
CCNCC(O)c1ccc(O)c(O)c1,4.391891795517909
NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NC1C(NC2=NC3C(O)CNC(=O)C3N2)OC(CO)C(OC(N)=O)C1O,7.43495041678671
NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NC1C(NC2=NC3C(O)CNC(=O)C3N2)OC(CO)C(OC(N)=O)C1O,6.688500679915939
Cc1ccc(OC(=O)N2CCCCC2)c(C(C)C)c1[N+](C)(C)C,6.653170373612207
CCCCNCC(O)CNc1ccc(C)cc1,4.89645088915608
COc1cc(CCCS(=O)(=O)O)ccc1OC(Cc1cccc(OC)c1O)CS(=O)(=O)O,2.991715046352561
CCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,2.783072768346712
CC1CCC2(OC1)OC1C(O)C3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C1C2C,5.089666007123555
COC1C(O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3.0503073770245908
CC1NC(=O)C(CC(C)(O)CO)NC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)C(C(C)O)NC1=O)C(=O)N1CC(O)CC1C(=O)NC(C)C(=O)N2,5.077467560771347
Cc1c[nH]c(C)c1C(=O)OC(C)C1=CCC23OCCN(C)CC12CC(O)C12OC4(O)CCC1(C)C(CC=C32)C4,8.299971118370582
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,3.31765076809928
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,2.8550975291372387
CCN(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,4.308308242998225
CC(=O)OC1CC2(C)C(CCC3C4(C)C=CC(=O)C(C)C4C(OC(C)=O)C(=O)C32C)C1=C(CCC=C(C)C)C(=O)O,3.05591856951605
CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23,3.7007024812454743
NC(=NP(=O)(O)O)N=C(N)Nc1ccccc1,2.9600049701270352
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,4.925317249360729
N#[N+][CH-]C(=O)CCC(NC(=O)C(CCC(=O)[CH-][N+]#N)NC(=O)CCC(N)C(=O)O)C(=O)O,3.660857815380902
CN(C)c1ncnc2c1N=C(N)CS2,2.9227835675845486
CC[N+](C)(CC)c1cccc(OC(=O)NC)c1,6.375339829616582
CCN(CC)CCN(CC)c1ccccc1,3.866011508981621
CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,4.528165672642426
CCN(CC)CC(C)(C)COC(=O)C(C)(OC(C)=O)c1ccccc1,3.730497786063953
CC(=O)OCC(C(=O)OCC(C)(C)CN1CCCCC1)c1ccccc1,3.859116672134635
CCCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.21933823394568
CCN(CC)CCOc1ccc(C(=O)Nc2ccccc2OC)cn1,3.5358344361075305
CCCCCCCCOP(=O)(NCCCO)N(CCCl)CCCl,4.194592036181544
CCCCOc1ccc(C(=O)OCCN(CC)CCO)cc1,2.946460686931708
CC(=O)C1CC(=O)OC1c1ccc(Cl)cc1,4.678827828775207
O=[As]c1ccc(O)c([N+](=O)[O-])c1,4.484817835854291
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,3.692398004471046
CCOc1ccccc1N1CCN(CCOc2cc(C)c(O)cc2C(C)C)CC1,4.5035695313866455
NC(=S)N/N=C/c1cc2c(cn1)[nH]c1ccccc12,4.43028956856142
CC(=O)Oc1c(C)c(C)c2c(c1C)CC(CC(=O)O)O2,2.541429461402622
CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,4.073995330886885
COC(=O)C1c2cc3c(c(O)c2C(OC2OC(C)C(OC)C(C)(OC)C2OC)CC1(C)O)C(=O)c1c(O)cc2c(c1C3=O)OC1OC2(C)C(O)C(N(C)C)C1O,4.967003666009009
CC(C)CC1NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C(Cc2ccc(O)cc2)NC(CCC(=O)O)C(=O)NC(CC(N)=O)C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O,6.010179420368072
NCC(O)c1ccccc1,2.697964436392396
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,2.7945352278490865
CC(=O)C1CC(=O)OC1c1c(F)cccc1Cl,4.710388185594146
C[S+](C)CCCCCC[S+](C)C,3.142881471172125
